comment,facility,lecturer,others,training_program
"giờ lên lớp thời gian đầu là dành cho seminar , 30 - 45 phút còn lại sau khi seminar giảng viên lại cho làm bài tập thực hành , sinh viên tự làm , giảng viên không hướng dẫn gì thêm và làm việc riêng .",0,1,0,0
"giảng dễ hiểu và vui tính , thân thiện .",0,3,0,0
nội dung truyền đạt của thầy không chỉ về kiến thức mà còn về cách sống .,0,0,0,3
giảng viên thường xuyên nghỉ không báo trước .,0,1,0,0
"thầy dạy dễ hiểu , rất nhiệt tình trả lời giải đáp của sinh viên .",0,3,0,0
giảng viên tích cực giải đề các năm .,0,3,0,0
ngôn từ trong phương pháp giảng dạy gần gũi với sinh viên .,0,3,0,0
lan man và hơi khó hiểu .,0,1,0,0
thầy rất nhiệt tình và dạy dễ hiểu .,0,3,0,0
phòng thực hành về mạng cần có nhiều trang thiết bị về mạng hơn để sinh viên có thể thực hành trên máy móc chứ không phải học thông qua các phần mềm .,1,0,0,0
cần cho sinh viên làm hoạt động nhóm nhiều hơn và mở rộng nâng cao kiến thức cho sinh viên nhiều hơn nữa .,0,0,0,1
"thầy nhiệt tình , tận tụy , vui vẻ .",0,3,0,0
"do học chung với các anh chị khoá 2011 , một phần nhỏ là khoá 2012 , các anh chị quá ồn ào , ồn ào không chịu nổi mặc dù đã nhắc nhở nhiều lần .",0,0,0,1
"lý do doubledot vào 2 tuần cuối kỳ , sinh viên phải làm đồ án rất nhiều môn , phải ôn thi .",0,0,1,0
em không có ý kiến gì cả .,0,0,2,0
"giảng dạy tốt , nhiệt huyết với sinh viên .",0,3,0,0
thầy cho nhiều bài tập .,0,2,0,0
cảm thấy rất may mắn khi được học thầy .,0,0,3,0
thầy giảng dạy nhiệt tình và vui tính .,0,3,0,0
"giảng viên quá nhiệt tình , hiểu sinh viên , thương sinh viên .",0,3,0,0
"thầy vui tính , dạy dễ hiểu và tận tình .",0,3,0,0
có đảm bảo chương trình dạy .,0,0,0,3
nâng cao cơ sở vật chất giảng dạy .,1,0,0,0
"thiếu thông tin , tài liệu về môn học .",0,0,0,1
chưa ôn tập được nhiều kiến thức cơ bản của anh văn 1 .,0,1,0,0
học sinh yêu cầu giảng lại không giảng lại và bảo về tự xem lại .,0,1,0,0
"cô rất tuyệt , giảng lý thuyết và bài tập siêu kỹ , giải đáp thắc mắc của sinh viên cực nhanh vì chi tiết .",0,3,0,0
cô rất vui tính .,0,3,0,0
giáo viên giảng dạy kỹ từng phần .,0,3,0,0
"cô cũng khuyến khích seminar để tăng khả năng sinh bày của sinh viên , trong quá trình trình bày hoặc xây dựng nội dung trình bày cô luôn tận tình giúp đỡ nếu có khó khăn từ phía sinh viên đó .",0,3,0,0
đưa sinh viên đi tham quan thực tế về các doanh nghiệp .,0,0,0,3
không có ý kiến gì !,0,0,2,0
"thời lượng học lý thuyết của môn học ngắn , dễ bị ảnh hưởng khi giảng viên đến trễ hay tham gia các buổi họp .",0,0,0,1
"giảng viên rất tôn trọng sinh viên , hướng dẫn tận tình cho sinh viên cách học và ôn tập cuối kỳ , ngoài ra còn hướng dẫn chi tiết cho sinh viên về đồ án tốt nghiệp .",0,3,0,0
"không có sách dạy chi tiết về môn học nên học rất khó hiểu , cần có tài liều hướng dẫn cụ thể chi tiết , mong nhà trường viết thêm sách cho sinh viên .",0,0,0,1
sinh viên cần đi học chăm nghe thầy giảng và làm bài tập thầy cho .,0,3,0,0
thầy chỉ dạy nhiệt tình những chỗ sinh viên chưa nắm rõ .,0,3,0,0
ra bài tập vừa phải thôi và phải chữa bài .,0,0,0,1
"dậy nhiệt tình , dễ tính .",0,3,0,0
giảng viên khả năng truyền đạt tốt .,0,3,0,0
"giáo viên giảng dạy nhiệt tình , tạo được hứng thú cho sinh viên .",0,3,0,0
"thiếu trang bị , dụng cụ thực hành cần thiết , không đáp ứng đủ thời gian giảng dạy do vắng tiết .",1,0,0,0
"cô tận tình , nhiệt tình trong công việc .",0,3,0,0
thực hành không liên quan gì đến lý thuyết .,0,0,0,1
giảng viên nói quá nhanh .,0,1,0,0
thầy rất dễ chịu .,0,3,0,0
"thầy nên vui vẻ giải đáp thắc mắc khi học sinh hỏi , bớt càu nhàu .",0,1,0,0
"cung cấp cho sinh viên biết được mục đích và công dụng thực tiễn của môn học vào thực tế nghề nghiệp , thêm các ví dụ liên quan tới cách áp dụng môn học vào nghề nghiệp tương lai chứ không dừng ở việc lấy ví dụ cho bài giảng .",0,0,0,3
cố gắng tạo mọi điều kiện để sinh viên hoạt động nâng cao kỹ năng .,0,3,0,0
"cô dạy hơi khó hiểu , phức tạp hóa vấn đề .",0,1,0,0
"cần đưa ra nhìu ví dụ , bài tập cộng bài giảng đi theo .",0,1,0,0
thầy dạy tận tình .,0,3,0,0
"câu văn trong bài giảng khó hiểu , không diễn đạt rõ ràng ý nghĩa .",0,0,0,1
"bản thân thầy dạy thực hành mà 3 tuần học liền tương đương 1dot5 tháng mà thầy vẫn không làm được yêu cầu cơ bản của môn học , đó là kết nối oracle trên 2 máy .",0,1,0,0
"giáo viên tận tâm , công minh .",0,3,0,0
"những đề bài tập của thầy rất hay , rất ấn tượng !",0,0,0,3
"có những ví dụ sinh động , dễ hiểu .",0,0,3,0
"giảng viên đảm bảo thời gian lên lớp tốt , chấm điểm công bằng .",0,3,0,0
giảng và giải bài quá nhanh .,0,1,0,0
slide chưa đẹp lắm .,0,0,0,1
"chưa có nhiều trao đổi , tương tác với sinh viên trên các diễn đàn .",0,1,0,0
"các bài tập , ví dụ cần đi liền với thực tiễn công việc sau này chứ không phải là các ví dụ như doubledot viết chương trình số phức , số thực , vẽ tam giác .",0,0,0,1
"thiếu các thiết bị chạy hệ điều hành windows phone , ios , android cho sinh viên thực hành .",1,0,0,0
nhiều khi thầy nghỉ không báo trước colonsad .,0,1,0,0
thay vì ngồi chờ chấm điểm như đi thi thực hành .,0,0,0,2
thầy giảng bài tập chưa hay .,0,1,0,0
chương trình dạy không đem nhiều lợi ích .,0,1,0,0
"cô giảng dạy dễ hiểu , nhiệt tình , luôn trả lời nhiệt tình câu hỏi của sinh viên đặt ra .",0,3,0,0
điểm danh học sinh đi học .,0,2,0,0
nhiệt tình vui vẻ nói chung ra rất tốt .,0,3,0,0
hơi cứng nhắc trong vấn đề này .,0,0,1,0
cô giáo dạy tiếng anh nói tiếng anh rất nhỏ và khó nghe nếu nói bằng micro hơn nữa cách dạy của cô khiến cho sinh viên không thể nào không buồn ngủ vì nó rất rất nhàm chán .,0,1,0,0
thầy nhiệt tình trong giảng dạy .,0,3,0,0
có ứng dụng thực tiễn thích hợp !,0,0,3,0
giảng viên dạy rất nhiệt tình và rất có tâm .,0,3,0,0
thầy dạy hơi nhanh một chút .,0,1,0,0
tệ .,0,0,1,0
"dạy nhiệt tình , nhiệt huyết , thân thiện với sinh viên .",0,3,0,0
"nhiệt tình , kiến thức rộng , truyền cảm hứng .",0,3,0,0
"thầy dạy vui tính , tận tâm với sinh viên .",0,3,0,0
nên giảng cho học sinh kỹ hơn nữa .,0,1,0,0
bài tập nên mang tính bắt buộc và cho điểm cộng thì sẽ tạo được động lực cũng như hứng thú cho sinh viên hơn .,0,0,0,1
cô cho bài nhiều .,0,1,0,0
phần mềm phục vụ cho phần thực hành không được cài đặt đầy đủ trên tất cả các máy tính .,0,0,0,1
"giảng viên tích cực hỗ trợ sinh viên , truyền đạt hiệu quả .",0,3,0,0
cơ sở vật chất chưa tốt để nghe tiếng anh .,0,1,0,0
giảng viên dạy hơi nhanh .,0,1,0,0
lớp học của cô wzjwz25 có đặc điểm là trình độ tiếng anh quá chênh lệch giữa cách sinh viên trong cùng một lớp .,0,0,0,1
phương pháp dạy không phù hợp .,0,1,0,0
môn học cần đưa nhiều hơn bài tập để sinh viên có thể nắm bắt các cách xử lý cũng như các cách thực hiện cho một bài giảng .,0,0,0,1
giảng viên không giảng mà chỉ đưa slide cho sinh viên tự đọc .,0,1,0,0
máy chiếu trong phòng học quá mờ khiến sinh viên không nhìn rõ nội dung khi trình chiếu !,1,0,0,0
"không quen với giọng của thầy , có thể vì chưa quen nhanh được , nên đôi lúc hơi khó hiểu .",0,0,1,0
rất quan tâm .,0,3,0,0
"tụi bạn em nó nói hỏi bài thầy thì mặt thầy có gì đó nghiêm trọng nhưng đối với em có bao giờ chuyện đó xảy ra , thầy nói chuyện rất là thật cái nào thầy chưa biết là thầy nói chưa biết ngay , thầy dạy xuất sắc 1 giáo viên trẻ quá tuyệt vời .",0,3,0,0
giảng bài cần chi tiết và rõ ràng hơn .,0,1,0,0
cải thiện chất lượng các phòng máy và kết nối mạng .,1,0,0,0
giảng viên chưa đảm bảo được ngày giờ học dẫn tới lớp học chậm và lệch so với giảng viên thực hành .,0,1,0,0
"môn này em học cải thiện nhưng mà nhà trường hủy môn em xong đăng tự ý đổi lớp lại , em không biết em không đi học nên chắc chắn em rớt .",0,0,1,0
có bám sát chương trình dạy .,0,0,0,2
đào tạo thêm về cơ chế giảng dạy .,0,0,0,1
thầy giảng dạy đầy đủ không bỏ sót kiến thức .,0,3,0,0
tôi rất hài lòng .,0,0,3,0
thầy wzjwz245 nói nhỏ .,0,1,0,0
mong nhà trường nâng cấp thêm cho phòng máy thực hành .,1,0,0,0
và quá gấp gáp .,0,0,1,0
"thầy nhiệt tình , giúp đỡ sinh viên hiệu quả .",0,3,0,0
chưa đảm bảo giờ lên lớp .,0,1,0,0
kiến thức .,0,0,0,2
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học .",0,3,0,0
"cho học sinh thuyết trình , chủ động .",0,3,0,0
"phần pl fraction sql , quản lý , phân quyền .",0,0,0,2
chưa nói đến sinh viên tự tra .,0,0,1,0
giảng rất nhiệt tình .,0,3,0,0
"cô giảng dễ hiểu , đủ nội dung bài học .",0,3,0,0
theo em nghĩ là quá nhiều cho 2 tín chỉ .,0,0,1,0
thân thiện vui tính .,0,3,0,0
"ứng dụng thực tế vào giảng dạy nhiều , tạo cho sinh viên hình dung việc học tập sẽ làm được gì khi ra trường .",0,0,0,3
"giảng viên dạy toàn diện các kỹ năng trong tiếng anh , cách dạy linh hoạt , sôi nổi .",0,3,0,0
"có nhiều hoạt động đan xen trong giờ học trên lớp , giúp sinh viên có tinh thần tự giác học tập .",0,0,0,3
giáo viên giảng bài làm cho sinh viên hứng thú và dễ tiếp thu .,0,3,0,0
"đi học xa quá ạ , mong trường có kế hoạch nào đó cho sinh viên học thể dục bên nhân văn đi bộ cho gần ạ !",0,0,0,1
thầy phân tích sâu sắc các vấn đề .,0,3,0,0
"giảng viên nên tận tình hơn , giúp sinh viên có cách học tốt hơn .",0,1,0,0
rất không hài lòng với năng lực của mình không thể được phát huy .,0,1,0,0
ít cho nghe .,0,0,0,1
có nhiều bài tập .,0,2,0,0
cho nhiều bài tập để rèn luyện .,0,3,0,0
thầy nhiệt huyết tận tâm .,0,3,0,0
thầy giảng bài .,0,2,0,0
điều em hài lòng nhất đó là giảng viên giảng bài rất dễ hiểu và lưu ý được những lỗi thường xảy ra khi làm bài tập .,0,3,0,0
nhiều nhóm chưa chuẩn bị kỹ về vấn đề tìm hiểu .,0,0,0,1
"thầy dạy rất vui , kiến thức dầy đủ .",0,3,0,0
hình thức tạo nhóm không hiệu quả .,0,1,0,0
khá khó hiểu .,0,0,1,0
truyền đạt .,0,2,0,0
"thiết kế bài giảng lại , dễ hiểu và cuốn hút hơn .",0,0,0,1
cần bám sát đề thi hơn .,0,0,0,1
"thầy dạy rất hay và dễ hiểu , hầu như mọi thắc mắc đều không cần hỏi thầy vẫn trả lời .",0,3,0,0
"đặc biệt cần thông tin cụ thể về những dụng cụ nào nhà trường phải có trách nhiệm cấp cho sinh viên và giảng viên , ví dụ như có trường hợp bút lông viết bảng xài qua vài học kỳ đã khô hết mực , bút mờ không viết được nhưng giảng viên và sinh viên không biết đến đâu để đổi hay thay bút mới nên dẫn đến có giảng viên đành nói chay , không ghi chép được gì , hoặc phải tự đi mua bút viết bảng mới để viết .",1,0,0,0
ôm đồm quá nhiều kỳ vọng .,0,0,1,0
cần làm nhiều bài tập hơn là lý thuyết khô cứng khó hiểu dẫn đến nhiều sinh viên hoang mang khi gặp bài tập trong đề thi .,0,0,0,1
"dạy hay , đầy đủ .",0,3,0,0
"nhiệt tình với sinh viên , bài giảng tốt .",0,3,0,0
"cô giảng dạy nhiệt tình , giải đáp thắc mắc cho sinh viên nhanh chóng , kiên nhẫn giải thích cho sinh viên .",0,3,0,0
"giảng viên gây hứng thú cho sinh viên với bài giảng của mình , vui vẻ , thân thiện với sinh viên .",0,3,0,0
nên có những bài tập nhỏ bám sát với lý thuyết .,0,0,0,1
thầy dạy còn hơi buồn ngủ colonsmile .,0,1,0,0
"sau đó sinh viên phải đi học bù , gây ra tình trạng trùng giờ cho nhiều sinh viên , mong cô sớm khắc phục .",0,1,0,0
"tài liệu nên cấp một lần trong đầu môn học , tránh trường hợp học rồi mới đưa tài liệu gây khó khăn cho sinh viên .",0,0,0,1
nâng cấp hệ thống mạng và máy tính .,1,0,0,0
thầy dậy rất nhiệt tình !,0,3,0,0
khi gặp vấn đề sinh viên biết được cách sử dụng các phương thức hàm nào .,0,3,0,0
không biết cô wzjwz327 là ai ?,0,0,2,0
đươc biết nhiều cái mới lạ .,0,0,3,0
tuyệt !,0,0,3,0
sau mỗi giờ học cũng có bài tập làm sinh viên rất nản .,0,0,0,1
"sau những buổi nghỉ tết hay nghỉ lễ , thầy nên thông báo buổi học trên web môn học để sinh viên có thể đi học đúng buổi .",0,1,0,0
"luôn trả lời những thắc mắc của sinh viên , dạy tận tình .",0,3,0,0
có nhiều ý tưởng cho tiết học thêm sinh động .,0,0,0,3
không đồng bộ kiến thức với giáo viên lý thuyết .,0,0,0,1
nội dung kiểm tra cần bao phủ hết nội dung môn học .,0,0,0,1
"giảng viên nên kiểm tra sức học của từng bạn sinh viên riêng biệt thay vì kiếm điểm quá trình lấy từ hoạt động của nhóm vì nhóm chỉ có một vài bạn hoạt động còn các bạn còn lại đa số là ăn theo , có bạn ít thậm chí là không hoạt động và nhiều lần kéo điểm của nhóm xuống do các bạn hoat động năng nổ kiếm được .",0,1,0,0
thầy hay nghỉ dạy mà không có thông báo trước nhiều lần .,0,1,0,0
bám sát thực tiễn .,0,0,0,3
"thầy rất nhiệt tình , giảng bài chi tiết , rất quan tâm đến sinh viên và nói rất nhẹ nhàng .",0,3,0,0
trên đây là ý kiến về các vấn đề em nhận ra sau khi học .,0,0,2,0
"hy vọng kỳ sau bộ môn anh văn cải tiến phương pháp dạy , và giáo trình , cho sinh viên nghe nói nhiều hơn , đôi khi bảo sinh viên dịch một đoạn để kiểm tra từ vựng , em thấy giáo viên cũng thương cho sinh viên thảo thuận cặp để nói , nhưng thật sự các bạn không biết nói gì , ngoài việc dịch tiếng việt ghép nghĩa tiếng anh !",0,0,0,1
sử dụng trang web trao đổi thảo luận trong lớp .,0,2,0,0
"nên cho thi cuối kỳ bằng hình thức code trên máy , code giấy rất chán và không có tính thực tế !",0,0,0,1
"thầy dạy hài hước , tận tâm trước các vấn đề về học tập cũng như việc làm của sinh viên .",0,3,0,0
thầy dạy kỹ từng phần của bài học giúp em dễ hiểu bài nắm vững kiến thức .,0,3,0,0
"giảng viên tận tâm , nhiệt tình , vui tính .",0,3,0,0
"phòng học nhỏ , không đủ máy , không kết nối mạng trong khi đây là phòng thực hành của khoa mạng máy tính .",1,0,0,0
hơi khó tính nhưng cái khó tính đó giúp ích cho em rất nhiều !,0,3,0,0
"cô dạy kỹ , quan tâm nhiều cho sinh viên .",0,3,0,0
"thầy wzjwz310 có cách dạy dành cho những người chủ động và đam mê trong học tập , những người ham học hỏi , tìm hiểu , đam mê ( còn những bạn không có tinh thần hỏi thì sẽ khó học tốt được ) .",0,3,0,0
"thầy giảng rất hay , dạy rất nhiệt tình .",0,3,0,0
"giảng viên tận tâm , nhiệt tình dạy học , giảng dễ hiểu , vui tính , hiền lành .",0,3,0,0
thầy wzjwz289 nên dạy thêm vài môn cho tụi em học .,0,3,0,0
phần thực hành môn này còn thiếu các thiết bị thực tế .,1,0,0,0
phương pháp giảng dạy .,0,0,0,2
"thầy tận tâm , nhiệt tình giảng dạy .",0,3,0,0
"giảng viên tận tâm , nhiệt tình , giảng dạy rất chi tiết nội dung môn học , các ví dụ sinh động , sát thực tế .",0,3,0,0
"lớp học vui , giảng viên giảng dạy sáng tạo , dễ hiểu .",0,0,0,3
"giảng viên nói tiếng anh khá khó nghe , nói nhỏ .",0,3,0,0
cung cấp được nhiều kinh nghiệm hay trong việc học cũng như đi làm sau này .,0,3,0,0
không có đề cương cụ thể .,0,0,0,1
"phòng máy , thiết bị mạng cần được đầu tư và vệ sinh , em thấy phòng máy quá bụi , cửa thì hở nên không mát , dẫn đến điều hòa mất tác dụng , lãng phí .",1,0,0,0
giảng khó hiểu .,0,1,0,0
"thầy tận tâm , nhiệt tình , giảng kỹ bài học .",0,3,0,0
có nhiều ví dụ minh họa dễ hiểu .,0,3,0,0
"cải thiện thiết bị lớp học doubledot máy chiếu , ổ điện , quạt .",1,0,0,0
thầy wzjwz251 dạy rất nhiệt tình với sinh viên .,0,3,0,0
thầy wzjwz97 dạy quá dở .,0,1,0,0
đem lại nhiều kiến thức qua môn học .,0,0,0,3
"nhiệt tình , tận tâm , truyền đạt và các ví dụ dễ hiểu .",0,3,0,0
"nâng cấp cơ sở vật chất đặc biệt là loa , micro và mạng wifi .",1,0,0,0
chép hơi nhiều .,0,0,1,0
em nghĩ nên thực hành nói nhiều hơn .,0,0,0,1
tốc độ giảng dạy tương đối cao .,0,1,0,0
cho các bài tập lớn để sinh viên có thể làm việc nhóm .,0,1,0,0
máy tính khó sử dụng .,1,0,0,0
"giáo trình lỗi thời , quá hàn lâm , xa với thực tiễn .",0,0,0,1
"sự nhiệt tình trả lời các câu hỏi của sinh viên , tài liệu được cung cấp đầy đủ rõ ràng .",0,3,0,0
chưa có nhiều kinh nghiệm trong giảng dạy .,0,1,0,0
không đánh giá đúng khả năng của học sinh .,0,1,0,0
lớp chất lượng cao nhưng lại thiếu thiết bị .,1,0,0,0
"đồng ý là làm bài tập nhiều sẽ tăng khả năng hiểu bài , tăng khả năng giải quyết bài toán .",0,0,0,3
nắm vững ngữ pháp và nâng cao được kỹ năng viết .,0,0,3,0
nếu được phòng thí nghiệm có thể có thêm các thiết bị thật để chạy và phát triển ứng dụng windows phone để các bạn biết điểm khác nhau giữa chạy thiết bị giả lập và thiết bị thật .,1,0,0,0
"em rất hài lòng về thầy , thầy rất tận tình giúp đỡ sinh viên , mọi thắc mắc luôn được trả lời đầy đủ .",0,3,0,0
chép bài trên lớp giúp nhớ bài .,0,0,0,3
giảng viên rất vui tính .,0,3,0,0
giảng viên có khả năng truyền đạt và phương pháp giảng dạy dễ hiểu .,0,3,0,0
thay vì kiểm tra trên wecode thì cho làm trên lớp thì hay hơn .,0,0,0,1
thầy cho nhiều bài tập về nhà và có hướng dẫn giải .,0,3,0,0
áp dụng thực tiễn cao !,0,0,0,3
"những vấn đề cô nói thường nhanh , dài và khó hiểu .",0,1,0,0
"thầy tận tình , giảng dạy hay , có nhiều ví dụ thực tế cho sinh viên dễ hiểu .",0,3,0,0
cách thức truyền đạt của giáo viên .,0,2,0,0
"giáo viên dạy tận tâm , dễ hiểu , vui vẻ !",0,3,0,0
"cách dạy projectbase của thầy khá hay , tuy nhiên sinh viên phải mò rất nhiều mới có thể đạt được như mong muốn .",0,3,0,0
"cho thêm bài tập về nhà , tốc độ giảng giải của thầy cần chậm hơn .",0,0,0,1
"môn học cần có nhiều bài tập hơn nữa , cần nhiều giáo trình hơn nữa .",0,0,0,1
cho điểm rẻ .,0,0,0,1
rất thân thiện và nhiệt tình .,0,3,0,0
tài liệu học tập chưa được cập nhật đầy đủ .,0,0,0,1
đề nghị nhà trường sửa hoặc bổ sung mới để việc thực hành có hiệu quả .,0,0,0,1
"giảng bài với tốc độ nhanh quá , nhiều phần không theo kịp .",0,1,0,0
em không thể hình dung được gì từ slide của thầy .,0,1,0,0
làm nhóm chỉ nhóm trưởng và lớp trưởng phần công công việc .,0,0,0,2
giảng viên không hướng dẫn thực hành đầy đủ .,0,1,0,0
"có một sô bài tập lớn hay , giúp bọn em rất nhiều .",0,3,0,0
"giảng viên nhiệt tình , tận tâm .",0,3,0,0
em muốn khi học môn này nên cho đồ án để áp dụng nhiều hơn vì em thấy môn này rất hay .,0,0,0,1
cảm ơn cô .,0,2,0,0
"cập nhật , cập nhật !",0,0,2,0
cần giảng viên lên lớp thường xuyên hơn .,0,1,0,0
giảng viên nên dạy lại một vài kiến thức trước khi cho thực hành .,0,1,0,0
"dạy từ cơ bản , theo logic , đến nâng cao .",0,3,0,0
giờ học trên lớp chưa thực sự hiệu quả .,0,1,0,0
nên giảm bớt số tiết trong một buổi .,0,0,0,1
"giảng viên tạo hoạt động cho lớp tốt , nhiệt tình , tiết học thú vị .",0,3,0,0
khả năng truyền đạt dễ hiểu giúp sinh viên nắm vững kiến thức .,0,3,0,0
giảng viên nói tiếng anh khó nghe .,0,3,0,0
thầy ít giảng nội dung lý thuyết trên lớp .,0,1,0,0
đảm bảo đầy đủ giờ lên lớp truyền đạt đủ kiến thức theo đề cương .,0,3,0,0
"cách trình bày ( giọng nói khó nghe ) , diễn đạt kiến thức chưa được tốt .",0,1,0,0
"cần nhiều giờ thực hành hơn nữa vì chủ yếu được học lý thuyết , thời gian tiếp xúc thiết bị ít .",0,0,0,1
nếu thỉnh thoảng thầy bù lịch học thì em không nói ạ .,0,2,0,0
cho điểm chấm bài tập không công bằng .,0,1,0,0
thầy cũng ít quan tâm đến ý kiến của học sinh .,0,1,0,0
"giảng viên trình bày dễ hiểu , theo sát bài học .",0,3,0,0
"cần đi sát thực tiễn , kèm thực hành nhiều hơn lý thuyết để không bị nhàm chán .",0,0,0,1
"cần có giáo trình cụ thể , riêng và phù hợp với nội dung học trong trường .",0,0,0,1
"tiết học thú vị , giảng viên dạy hay .",0,3,0,0
"giảng viên truyền đạt chưa tốt , giảng viên chỉ nói về nội dung bài học mà không có hoạt động cho sinh viên ( như đặt câu hỏi thảo luận , làm bài tập ) .",0,1,0,0
"cuối kỳ 100% là bài tập , mà cơ bản thì mình không thấy thầy đứng lên trong lúc dạy lần nào , chỉ ngồi yên đó đọc slide thôi , slide tiếng anh , chỗ dịch tiếng việt , chỗ thì không dịch , cũng khó học , nên chỉ lên mạng học thôi .",0,0,0,1
"cần đặt mục tiêu rõ ràng nhất từ môn học và môn học cần được học ở sinh viên năm nhất , vì lúc vào sinh viên còn rất ngỡ ngàng với các khoa và các môn học sẽ học vì thế nên học trước để tạo tâm lý , cũng như sinh viên phải biết mình cần làm gì , tạo nên sự chủ động trong học tập và làm việc .",0,0,0,1
"cần cài các phần mềm học tập mới , chính xác ví dụ doubledot visual studio 2010 hoặc 2012 để sinh viên học tập tốt hơn .",1,0,0,0
cho bài tập khó ngay khi vừa giảng xong .,0,0,0,1
"giảng viên tận tâm , nhiệt tình với sinh viên , luôn lắng nghe , giải đáp tất cả các thắc mắc của sinh viên , luôn tạo được ngữ cảnh cho sinh viên thảo luận về bài học .",0,3,0,0
thắc mắc ngay tại lớp những cái mình không hiểu .,0,0,2,0
giáo viên rất thân thiện .,0,3,0,0
"ví dụ như mục quy hoạch động là mục em thích thú nhưng cô nói đây là mục khó , cô dạy chỉ những ví dụ cực kỳ cơ bản .",0,1,0,0
"nếu thầy đã không đảm bảo giờ lên lớp , thì khi ra bài thi và đề cương ôn tập nên chú ý đến việc rõ ràng , hướng dẫn rõ sinh viên biết mình phải học gì .",0,0,1,0
"giảng dễ hiểu , kỹ , có chút nghiêm khắc .",0,3,0,0
chưa sử dụng hệ thống moodle .,0,1,0,0
giảng viên không sử dụng hệ thống website môn học trong quá trình giảng dạy .,0,1,0,0
có nhiều hoạt động trên lớp .,0,3,0,0
đa phần bài thực hành đã được làm từ những bài tập về nhà của thầy x .,0,2,0,0
"phương pháp dạy của thầy chưa phù hợp , gây khó hiểu cho sinh viên .",0,1,0,0
thời gian tăng từ 4 tiết lên đến 5 tiết khiến sinh viên mệt mỏi và thiếu tập trung ở cuối giờ học .,0,0,0,1
cô dạy rất nhiệt tình và hay .,0,3,0,0
thầy vui tính dể tiếp thu bài .,0,3,0,0
bài giảng .,0,0,0,2
luôn tìm cách giúp đỡ sinh viên .,0,3,0,0
để tiện cho sinh viên xếp lịch .,0,0,0,2
môn học cần phân bố hợp lý thời gian cũng như các phần của môn học giúp sinh viên học tốt hơn môn học này .,0,0,0,1
"cô giảng bài rất nhanh , mong cô sẽ dạy chậm lại để sinh viên kịp hiểu vấn đề .",0,3,0,0
giảng dạy hiệu quả .,0,3,0,0
"thầy giảng rất chi tiết , rất nhiệt tình .",0,3,0,0
"cần có tài liệu , giáo trình của trường một cách cụ thể và cập nhật hơn .",0,0,0,1
nên có thêm nhiều bài tập về nhà để củng cố kiến thức .,0,0,0,1
"tháng học môn kiến trúc máy tính 4 ngày , nghỉ 3 ngày , bù trùng lịch 3 môn không học được rớt tốn tiền .",0,0,0,1
"cập nhật slide mới , tài liệu slide cũ có nhiều điểm khác slide mới không cập nhât đúng thứ tự , ví dụ .",0,0,0,1
cô dạy rất có tâm và chuyên môn tốt colonsmile .,0,3,0,0
điều này xảy ra ở mọi tiết học .,0,0,1,0
nên bổ xung phần thực hành !,0,0,0,1
cô nên cho học sinh thêm nhiều slide .,0,1,0,0
cô cho ví dụ minh họa dễ hiểu .,0,3,0,0
phòng máy không tốt .,1,0,0,0
thầy giảng bài hay và có mở rộng thêm kiến thức bên ngoài .,0,3,0,0
cách dạy của giảng viên mới lạ và thực tế .,0,3,0,0
thầy rất giỏi .,0,3,0,0
ít bài tập cho sinh viên .,0,0,0,3
có lấy nhiều ví dụ liên hệ thực tiễn .,0,3,0,0
cần áp đặt việc kiểm tra bài cũ và bài mới trên giờ học nhiều hơn .,0,0,0,1
giờ học khá nhiều .,0,0,0,1
thầy nên cho bài tập môn hệ điều hành nhiều hơn nữa .,0,1,0,0
bài giảng tạo cảm giác hứng thú và tiếp thu bài tốt .,0,0,0,3
"nhiệt tình , thân thiện với sinh viên .",0,3,0,0
thầy truyền đạt kiến thức chưa tốt .,0,1,0,0
giúp em biết được một phần thực tế của công việc sau này .,0,0,3,0
"giảng viên tận tâm , nhiệt tình , gần gũi với sinh viên .",0,3,0,0
giải chi tiết bài .,0,3,0,0
"giảng viên giảng dạy nhiệt tình , nội dung giảng dạy đầy đủ , ôn tập sát với nội dung kiểm tra .",0,3,0,0
môn học khá khó không phù hợp .,0,0,0,1
hiện tại môn học còn mang tính lý thuyết quá nặng .,0,0,0,1
"ngoài ra , có bài không thấy yêu cầu nộp video nên em nộp code không cũng bị trừ , bài cuối thầy dặn không cần làm cũng chấm em 0 điểm .",0,1,0,0
thầy khá là tận tâm trong việc truyền đạt kiến thức .,0,1,0,0
đánh giá tính chuyên cần .,0,2,0,0
"gần gũi , vui vẻ với sinh viên .",0,3,0,0
thực hành ngay trên lớp lý thuyết thì sẽ hay hơn .,0,0,0,1
"tại sao có rất nhiều vấn đề hay liên quan đến phần mềm nhà trường lại không dạy , dành ra 4 chỉ cho môn "" đặc tả hình thức "" chỉ để đóng học phí và học đối phó cho qua .",0,0,0,1
tăng cường một số tài liệu học cơ bản .,0,0,0,1
phải bỏ tiền học lại .,0,0,1,0
bài tập theo sát đề cương .,0,0,0,3
chưa gặp lần nào .,0,0,2,0
nói những vấn đề không liên quan .,0,1,0,0
"thầy dạy rất chuẩn và nhiệt tình , kèm theo thời gian tập luyện và nghỉ ngơi hợp lý !",0,3,0,0
"bài tập nhiều , có nhiều câu hỏi hay .",0,0,0,3
